name,visits,music,outdoor,religion,food/drink,cards/games,arts/crafts,physical games,group activity,bus trips,special event,act on the go,noted,misc
u3a,,,,,,,,,,,,,,
u3c,,,,,,,,,,,,,,
u3d,,,,,,,,,,,,,,
